State,Code,Latitude,Longitude,2020-01-30 17:00,2020-02-01 17:00,2020-02-02 17:00,2020-02-03 17:00,2020-02-04 17:00,2020-02-05 17:00,2020-02-06 17:00,2020-02-07 17:00,2020-02-08 17:00,2020-02-09 17:00,2020-02-10 17:00,2020-02-11 17:00,2020-02-12 17:00,2020-02-13 17:00,2020-02-14 17:00,2020-02-15 17:00,2020-02-16 17:00,2020-02-17 17:00,2020-02-18 17:00,2020-02-19 17:00,2020-02-20 17:00,2020-02-21 17:00,2020-02-22 17:00,2020-02-23 17:00,2020-02-24 17:00,2020-02-25 17:00,2020-02-26 17:00,2020-02-27 17:00,2020-02-28 17:00,2020-02-29 17:00,2020-03-01 17:00,2020-03-02 17:00,2020-03-03 17:00,2020-03-04 17:00,2020-03-05 17:00,2020-03-06 17:00,2020-03-07 17:00,2020-03-08 17:00,2020-03-09 17:00,2020-03-10 17:00,2020-03-11 17:00,2020-03-12 17:00,2020-03-13 17:00,2020-03-14 17:00,2020-03-15 17:00,2020-03-16 17:00,2020-03-17 17:00,2020-03-18 17:00,2020-03-19 17:00,2020-03-20 17:00,2020-03-21 17:00,2020-03-22 17:00,2020-03-23 17:00,2020-03-24 17:00,2020-03-25 17:00,2020-03-26 17:00,2020-03-27 17:00,2020-03-28 17:00,2020-03-29 17:00,2020-03-30 17:00,2020-03-31 17:00,2020-04-01 09:00,2020-04-01 19:30,2020-04-02 09:00,2020-04-02 18:00,2020-04-03 09:00,2020-04-03 18:00,2020-04-04 09:00,2020-04-04 18:00,2020-04-05 09:00,2020-04-05 18:00,2020-04-06 09:00,2020-04-06 18:00,2020-04-07 09:00,2020-04-07 18:00,2020-04-08 08:00,2020-04-08 17:00,2020-04-09 08:00,2020-04-09 17:00,2020-04-10 08:00,2020-04-10 17:00,2020-04-11 08:00,2020-04-11 17:00,2020-04-12 08:00,2020-04-12 17:00,2020-04-13 08:00,2020-04-13 17:00,2020-04-14 08:00,2020-04-14 17:00,2020-04-15 08:00,2020-04-15 17:00,2020-04-16 08:00,2020-04-16 17:00,2020-04-17 08:00,2020-04-17 17:00,2020-04-18 08:00,2020-04-18 17:00,2020-04-19 08:00,2020-04-19 17:00,2020-04-20 08:00,2020-04-20 17:00,2020-04-21 08:00,2020-04-21 17:00,2020-04-22 08:00,2020-04-22 17:00,2020-04-23 08:00,2020-04-23 17:00,2020-04-24 08:00,2020-04-24 17:00,2020-04-25 08:00,2020-04-26 08:00,2020-04-26 17:00,2020-04-27 08:00,2020-04-27 17:00,2020-04-28 08:00,2020-04-29 08:00,2020-04-29 17:00,2020-04-30 08:00
Madhya Pradesh,MP,22.9734,78.6569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,7,15,20,29,39,39,47,66,47,66,99,99,99,104,104,104,104,165,165,165,165,229,229,229,229,259,259,259,435,443,532,564,564,604,604,730,730,987,987,1120,1120,1308,1310,1355,1407,1407,1407,1485,1485,1540,1552,1592,1592,1695,1699,1852,1852,2096,2096,2096,2168,2168,2387,2561,2561
Maharashtra,MH,19.7515,75.7139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,11,17,31,32,38,41,44,48,52,64,74,97,107,122,125,156,186,203,220,302,302,302,335,335,335,335,423,490,490,490,690,748,748,868,1018,1018,1135,1135,1364,1364,1574,1574,1761,1761,1985,1985,2334,2337,2687,2687,2916,2919,3205,3205,3323,3323,3651,3651,4203,4203,4666,4669,5218,5221,5652,5652,6430,6430,6817,7628,7628,8068,8068,8590,9318,9318,9915
Manipur,MN,24.6637,93.9063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Meghalaya,ML,25.467,91.3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,7,7,9,9,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Mizoram,MZ,23.1645,92.9376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,NL,26.1584,94.5624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,OR,20.9517,85.0985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,20,20,21,21,21,42,42,42,42,42,44,44,48,48,50,54,54,54,54,55,60,60,60,60,60,60,60,60,61,61,68,68,74,74,79,82,83,83,90,90,94,94,103,103,108,118,118,119,125
Puducherry,PY,11.9416,79.8083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8
Punjab,PB,31.1471,75.3412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,13,21,23,29,31,33,38,38,38,41,42,41,42,46,46,46,48,53,57,57,57,68,76,76,91,91,91,101,101,101,132,132,132,151,151,151,167,167,176,176,186,186,186,186,186,202,202,202,219,219,219,245,245,245,251,251,277,277,277,298,298,298,313,313,313,322,322,357
Rajasthan,RJ,27.0238,74.2179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,7,9,17,24,28,32,32,38,40,50,54,59,79,93,93,93,108,108,133,167,179,200,200,200,253,274,288,288,328,328,381,383,463,463,553,553,700,700,804,812,873,879,969,1005,1023,1023,1131,1131,1229,1229,1351,1351,1478,1478,1576,1576,1659,1801,1890,1890,1964,1964,2034,2083,2083,2185,2185,2262,2364,2364,2438
Sikkim,SK,27.533,88.5122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,TN,18.1124,79.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,3,6,9,12,18,26,29,38,42,50,67,124,124,234,234,234,309,309,411,411,485,485,571,571,621,621,690,690,738,738,834,834,911,911,969,969,1043,1075,1173,1173,1204,1204,1242,1242,1267,1267,1323,1323,1372,1372,1477,1477,1520,1520,1596,1596,1629,1629,1683,1683,1755,1821,1821,1885,1885,1937,2058,2058,2162
Telangana,TG,11.1271,78.6569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,13,16,19,21,27,33,37,41,44,59,67,70,77,97,94,96,96,107,107,158,158,159,269,269,321,321,321,364,364,427,427,442,442,473,473,504,504,504,504,562,562,624,624,647,647,698,700,743,766,791,809,844,844,873,873,919,928,945,945,960,960,984,984,991,991,1002,1002,1004,1004,1012,1012
Tripura,TR,23.9408,91.9882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Uttar Pradesh,UP,26.8467,80.9462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,10,10,10,12,12,12,13,13,15,17,20,24,28,30,32,35,38,42,49,65,72,96,104,103,103,113,113,113,172,174,174,227,227,227,305,305,305,326,343,361,410,410,431,431,433,452,452,483,483,558,657,660,735,735,773,805,846,849,969,969,1084,1084,1176,1184,1294,1294,1412,1449,1509,1510,1604,1621,1793,1843,1868,1955,1955,2053,2115,2134
Uttarakhand,UT,30.0668,79.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,4,4,5,5,5,6,7,7,7,7,7,7,7,10,10,16,16,22,22,26,26,31,31,31,31,33,35,35,35,35,35,35,35,35,35,35,35,37,37,37,37,37,37,40,42,42,42,44,44,46,46,46,46,46,46,47,47,48,48,50,50,51,51,54,54,55
West Bengal,WB,22.9868,87.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,7,7,9,9,10,15,18,21,22,37,26,37,37,53,53,63,63,69,69,80,80,80,91,91,99,99,103,103,116,116,116,126,134,134,152,152,190,190,213,213,231,231,255,255,287,287,310,310,339,339,392,392,423,423,456,456,514,514,571,611,611,649,649,697,725,725,758
